File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\sainath\Desktop\freemind\modes\browsemode\EncryptedBrowseNode.java,1786,729,596,460,573,760,223,18,109,9,89,2,
C:\Users\sainath\Desktop\freemind\modes\browsemode\NodeNoteViewer.java,991,417,320,252,275,473,126,0,48,7,58,1,
C:\Users\sainath\Desktop\freemind\modes\CloudAdapter.java,1681,675,568,437,580,622,228,30,84,8,122,4,
C:\Users\sainath\Desktop\freemind\modes\common\actions\FindAction.java,4065,1546,1406,1112,1805,1027,628,42,285,19,243,11,
C:\Users\sainath\Desktop\freemind\modes\common\actions\NewMapAction.java,218,109,59,49,0,148,32,0,10,9,18,0,
C:\Users\sainath\Desktop\freemind\modes\common\CommonNodeKeyListener.java,2119,828,731,558,848,711,309,0,113,13,120,3,
C:\Users\sainath\Desktop\freemind\modes\common\CommonToggleFoldedAction.java,1151,471,377,303,408,444,139,0,71,10,77,0,
C:\Users\sainath\Desktop\freemind\modes\common\dialogs\EnterPasswordDialog.java,2713,1125,889,698,640,987,577,12,240,13,220,20,
C:\Users\sainath\Desktop\freemind\modes\common\dialogs\IconSelectionPopupDialog.java,4700,1871,1596,1232,1466,1501,806,238,395,15,264,12,
C:\Users\sainath\Desktop\freemind\modes\common\dialogs\PersistentEditableComboBox.java,1345,545,442,356,445,483,194,24,102,7,84,2,
C:\Users\sainath\Desktop\freemind\modes\common\GotoLinkNodeAction.java,407,189,121,96,49,237,57,6,20,9,26,1,
C:\Users\sainath\Desktop\freemind\modes\common\listeners\CommonMouseMotionManager.java,787,337,251,198,203,345,94,36,48,8,47,2,
C:\Users\sainath\Desktop\freemind\modes\common\listeners\CommonNodeMouseMotionListener.java,2401,982,790,628,772,898,347,24,170,24,156,6,
C:\Users\sainath\Desktop\freemind\modes\common\listeners\MindMapMouseWheelEventHandler.java,1717,739,551,427,426,819,167,85,111,10,90,6,
C:\Users\sainath\Desktop\freemind\modes\common\plugins\NodeNoteBase.java,96,51,25,19,0,69,11,0,0,6,8,0,
C:\Users\sainath\Desktop\freemind\modes\common\plugins\ReminderHookBase.java,2717,1109,896,712,743,1027,482,36,214,11,194,7,
C:\Users\sainath\Desktop\freemind\modes\ControllerAdapter.java,15413,6065,5183,4164,5309,4552,2829,97,1336,74,1192,22,
C:\Users\sainath\Desktop\freemind\modes\EdgeAdapter.java,2090,801,737,552,847,681,289,6,108,7,147,3,
C:\Users\sainath\Desktop\freemind\modes\filemode\FileController.java,1512,650,479,382,326,760,186,18,107,10,98,3,
C:\Users\sainath\Desktop\freemind\modes\filemode\FileEdgeModel.java,123,63,33,27,0,88,14,0,2,6,11,0,
